model,emotion_probe_classification,emotion_generalization,representation_geometry_valence,parametric_intensity,causal_steering_behavior,preference_steering
gemma_2b,0.7759999999999999,0.8,0.8110138735225234,0.9714285714285715,0.0,0.0
gemma_9b,0.8399999999999999,0.8,0.7900278372963252,0.5714285714285715,0.0,0.0
llama_1b,0.7733333333333332,0.7333333333333333,0.6655485520994382,0.9428571428571428,2.0,0.0
llama_8b,0.8186666666666668,0.8666666666666667,0.7384413163203261,0.9714285714285715,0.0,0.0
qwen_1_5b,0.7306666666666667,0.8,0.8103145523744866,0.8857142857142857,2.0,0.0
qwen_7b,0.784,0.6666666666666666,0.8280650736192718,0.942857142857143,0.0,0.0
